date,season,stage,home_team,away_team,score,home_goals,away_goals,result
2008-08-17 00:00:00,2008/2009,1,KRC Genk,Beerschot AC,1–1,1,1,Draw
2008-08-16 00:00:00,2008/2009,1,SV Zulte-Waregem,Sporting Lokeren,0–0,0,0,Draw
2008-08-16 00:00:00,2008/2009,1,KSV Cercle Brugge,RSC Anderlecht,0–3,0,3,Away Win
2008-08-17 00:00:00,2008/2009,1,KAA Gent,RAEC Mons,5–0,5,0,Home Win
2008-08-16 00:00:00,2008/2009,1,FCV Dender EH,Standard de Liège,1–3,1,3,Away Win
2008-09-24 00:00:00,2008/2009,1,KV Mechelen,Club Brugge KV,1–1,1,1,Draw
2008-08-16 00:00:00,2008/2009,1,KSV Roeselare,KV Kortrijk,2–2,2,2,Draw
2008-08-16 00:00:00,2008/2009,1,Tubize,Royal Excel Mouscron,1–2,1,2,Away Win
2008-08-16 00:00:00,2008/2009,1,KVC Westerlo,Sporting Charleroi,1–0,1,0,Home Win
2008-11-01 00:00:00,2008/2009,10,Club Brugge KV,KV Kortrijk,4–1,4,1,Home Win
2008-10-31 00:00:00,2008/2009,10,Standard de Liège,Sporting Charleroi,1–2,1,2,Away Win
2008-11-02 00:00:00,2008/2009,10,SV Zulte-Waregem,KAA Gent,0–2,0,2,Away Win
2008-11-01 00:00:00,2008/2009,10,Sporting Lokeren,RAEC Mons,0–0,0,0,Draw
2008-11-01 00:00:00,2008/2009,10,FCV Dender EH,KVC Westerlo,2–2,2,2,Draw
2008-11-01 00:00:00,2008/2009,10,KV Mechelen,KSV Roeselare,1–2,1,2,Away Win
2008-11-01 00:00:00,2008/2009,10,Royal Excel Mouscron,KSV Cercle Brugge,0–1,0,1,Away Win
2008-11-01 00:00:00,2008/2009,10,Tubize,KRC Genk,1–3,1,3,Away Win
2008-11-02 00:00:00,2008/2009,10,Beerschot AC,RSC Anderlecht,1–3,1,3,Away Win
2008-11-08 00:00:00,2008/2009,11,RSC Anderlecht,Sporting Lokeren,2–3,2,3,Away Win
2008-11-08 00:00:00,2008/2009,11,RAEC Mons,Royal Excel Mouscron,0–0,0,0,Draw
2008-11-09 00:00:00,2008/2009,11,Sporting Charleroi,Club Brugge KV,2–2,2,2,Draw
2008-11-07 00:00:00,2008/2009,11,KSV Cercle Brugge,SV Zulte-Waregem,2–0,2,0,Home Win
2008-11-08 00:00:00,2008/2009,11,KAA Gent,FCV Dender EH,1–1,1,1,Draw
2008-11-08 00:00:00,2008/2009,11,KSV Roeselare,Tubize,1–2,1,2,Away Win
2008-11-08 00:00:00,2008/2009,11,KV Kortrijk,KV Mechelen,0–0,0,0,Draw
2008-11-08 00:00:00,2008/2009,11,KVC Westerlo,KRC Genk,1–0,1,0,Home Win
2008-11-09 00:00:00,2008/2009,11,Beerschot AC,Standard de Liège,1–3,1,3,Away Win
2008-11-16 00:00:00,2008/2009,12,Club Brugge KV,RSC Anderlecht,1–1,1,1,Draw
2008-11-15 00:00:00,2008/2009,12,KRC Genk,KSV Roeselare,1–1,1,1,Draw
2008-11-15 00:00:00,2008/2009,12,SV Zulte-Waregem,Beerschot AC,2–2,2,2,Draw
2008-11-16 00:00:00,2008/2009,12,Sporting Lokeren,Standard de Liège,1–1,1,1,Draw
2008-11-15 00:00:00,2008/2009,12,FCV Dender EH,KV Kortrijk,1–0,1,0,Home Win
2008-11-15 00:00:00,2008/2009,12,KV Mechelen,RAEC Mons,0–0,0,0,Draw
2008-11-15 00:00:00,2008/2009,12,Royal Excel Mouscron,Sporting Charleroi,2–1,2,1,Home Win
2008-11-15 00:00:00,2008/2009,12,Tubize,KSV Cercle Brugge,3–0,3,0,Home Win
2008-11-14 00:00:00,2008/2009,12,KVC Westerlo,KAA Gent,3–2,3,2,Home Win
2008-11-22 00:00:00,2008/2009,13,RSC Anderlecht,KVC Westerlo,2–0,2,0,Home Win
2008-11-22 00:00:00,2008/2009,13,Standard de Liège,Royal Excel Mouscron,3–1,3,1,Home Win
2008-11-22 00:00:00,2008/2009,13,RAEC Mons,Club Brugge KV,1–2,1,2,Away Win
2008-11-22 00:00:00,2008/2009,13,Sporting Charleroi,Tubize,3–2,3,2,Home Win
2008-11-22 00:00:00,2008/2009,13,KSV Cercle Brugge,KV Mechelen,2–1,2,1,Home Win
2008-11-23 00:00:00,2008/2009,13,KAA Gent,KRC Genk,2–3,2,3,Away Win
2008-11-22 00:00:00,2008/2009,13,KSV Roeselare,FCV Dender EH,2–2,2,2,Draw
2008-12-16 00:00:00,2008/2009,13,KV Kortrijk,SV Zulte-Waregem,1–0,1,0,Home Win
2008-11-22 00:00:00,2008/2009,13,Beerschot AC,Sporting Lokeren,0–2,0,2,Away Win
2008-11-30 00:00:00,2008/2009,14,Club Brugge KV,Beerschot AC,3–0,3,0,Home Win
2008-11-29 00:00:00,2008/2009,14,KRC Genk,KSV Cercle Brugge,3–2,3,2,Home Win
2008-11-29 00:00:00,2008/2009,14,SV Zulte-Waregem,Sporting Charleroi,4–2,4,2,Home Win
2008-11-29 00:00:00,2008/2009,14,KAA Gent,KSV Roeselare,4–0,4,0,Home Win
2008-11-28 00:00:00,2008/2009,14,FCV Dender EH,RSC Anderlecht,0–2,0,2,Away Win
2008-11-30 00:00:00,2008/2009,14,KV Mechelen,Standard de Liège,0–0,0,0,Draw
2008-11-29 00:00:00,2008/2009,14,Royal Excel Mouscron,Sporting Lokeren,2–0,2,0,Home Win
2008-11-29 00:00:00,2008/2009,14,Tubize,KV Kortrijk,3–3,3,3,Draw
2008-11-29 00:00:00,2008/2009,14,KVC Westerlo,RAEC Mons,2–1,2,1,Home Win
2008-12-06 00:00:00,2008/2009,15,RSC Anderlecht,Tubize,5–1,5,1,Home Win
2008-12-06 00:00:00,2008/2009,15,Standard de Liège,SV Zulte-Waregem,1–2,1,2,Away Win
2008-12-06 00:00:00,2008/2009,15,RAEC Mons,FCV Dender EH,5–2,5,2,Home Win
2008-12-06 00:00:00,2008/2009,15,Sporting Charleroi,KV Mechelen,1–2,1,2,Away Win
2008-12-05 00:00:00,2008/2009,15,KSV Cercle Brugge,KAA Gent,3–1,3,1,Home Win
2008-12-07 00:00:00,2008/2009,15,Sporting Lokeren,Club Brugge KV,2–0,2,0,Home Win
2008-12-06 00:00:00,2008/2009,15,KSV Roeselare,KVC Westerlo,1–0,1,0,Home Win
2008-12-07 00:00:00,2008/2009,15,KV Kortrijk,KRC Genk,3–1,3,1,Home Win
2008-12-06 00:00:00,2008/2009,15,Beerschot AC,Royal Excel Mouscron,3–0,3,0,Home Win
